City,County,Phone Number,Provider Name,State,Street Address,Zipcode,Service Type
OAK LAWN,Cook,708-425 3344,PARK LAWN SCHOOL and ACTIVITY,IL,10833 S LAPORTE AVE,60453,"Community Day Services, Community Integrated Living Arrangement Services"
PRINCETON,Bureau,815-875 4548,"GATEWAY SERVICES, INC.",IL,406 S GOSSE BLVD,61356,"Community Day Services, Community Integrated Living Arrangement Services"
CHICAGO,Cook,773-282 9992,AUSTIN SPECIAL CHICAGO,IL,5318 N Elstone Ave,60630,"Community Day Services, Community Integrated Living Arrangement Services"
CHICAGO,Cook,773-305 5000,SEARCH DEVELOPMENTAL CENTER,IL,1925 N CLYBOURN AVE STE 200,60614,"Community Day Services, Community Integrated Living Arrangement Services"
DUQUOIN,Perry,618-542 5421,"FIVE STAR INDUSTRIES, INC.",IL,1308 WELLS RD,62832,"Community Day Services, Community Integrated Living Arrangement Services"
ROMEOVILLE,Will,630-759 0201,INDIVIDUAL ADVOCACY GROUP INC,IL,1289 WINDHAM PARKWAY,60446,"Community Day Services, Community Integrated Living Arrangement Services"
DIXON,Lee,815-288 6691,KREIDER SERVICES INC.,IL,500 ANCHOR RD P O BOX 366,61021,"Community Day Services, Community Integrated Living Arrangement Services"
PONTIAC,Livingston,815-842 1122,FUTURES UNLIMITED INC,IL,210 E TORRANCE AVE,61764,"Community Day Services, Community Integrated Living Arrangement Services"
PARIS,Edgar,217-465-4118,HUMAN RESOURCES CENTER OF EDGAR AND CLARK COUNTIES,IL,PO Box 1118 753 E COURT ST,61944,"Community Day Services, Community Integrated Living Arrangement Services"
CHICAGO,Cook,773-734 2222,SOUTH CHICAGO PARENTS and FRIEND,IL,10241 S COMMERCIAL AVE,60617,"Community Day Services, Community Integrated Living Arrangement Services"
PERU,LaSalle,815-223 4488,HORIZON HOUSE OF IL VALLEY INC,IL,2000 PLANK RD,61354,"Community Day Services, Community Integrated Living Arrangement Services"
CHICAGO,Cook,773-571-0238,LESTER AND ROSALIE ANIXTER CENTER,IL,"1945 W Wilson Ave, Ste 3000",60640,"Community Day Services, Community Integrated Living Arrangement Services"
DECATUR,Macon,217-875-1910,"MACON RESOURCES, INC",IL,2121 HUBBARD AVE,62526,"Community Day Services, Community Integrated Living Arrangement Services"
PEORIA,Peoria,309-686 3300,COMMUNITY WORKSHOP and TRAINING,IL,3215 N UNIVERSITY,61604,"Community Day Services, Community Integrated Living Arrangement Services"
DANVILLE,Vermilion,217-442-3200,CROSSPOINT HUMAN SERVICES,IL,210 AVENUE C,61832,"Community Day Services, Community Integrated Living Arrangement Services"
Warrenville,DuPage,630-355-6533,"LITTLE FRIENDS, INC",IL,27555 DIEHL,60555,"Community Day Services, Community Integrated Living Arrangement Services"
WOOD RIVER,Madison,618-251 2175,WILLIAM M BEDELL ACHIEVEMENT,IL,P O BOX 349 - 400 S Main,62095,"Community Day Services, Community Integrated Living Arrangement Services"
CHICAGO,Cook,773-973-6300,MISERICORDIA HOME,IL,6300 N RIDGE,60660,"Community Day Services, Community Integrated Living Arrangement Services"
COUNTRYSIDE,Cook,708-352 3580,HELPING HAND CENTER,IL,9649 W 55TH ST,60525,"Community Day Services, Community Integrated Living Arrangement Services"
Freeport,Stephenson,617-571-2136,BROADSTEP ACADEMY-IL INC,IL,701 W. Lamm Rd.,61032,"Community Day Services, Community Integrated Living Arrangement Services"
ROBINSON,Crawford,618-546 5625,LAWRENCE CRAWFORD ASSOC FOR EXCEPTIONAL CITIZENS,IL,905 W MULBERRY,62454,"Community Day Services, Community Integrated Living Arrangement Services"
NORTHBROOK,Cook,847-205 1234,KESHET,IL,610 Academy Dr,60062,"Community Day Services, Community Integrated Living Arrangement Services"
FREEPORT,Stephenson,815-235 7181,MALCOLM EATON ENTERPRISES,IL,570 W LAMM RD,61032,"Community Day Services, Community Integrated Living Arrangement Services"
QUINCY,Adams,217-223-0413,TRANSITIONS OF WESTERN ILLINOIS,IL,4409 Maine St,62305,"Community Day Services, Community Integrated Living Arrangement Services"
CHICAGO,Cook,312-666-4511,EL VALOR CORPORATION,IL,1850 W 21ST ST,60608,"Community Day Services, Community Integrated Living Arrangement Services"
STERLING,Whiteside,815-626 3115,ROCK RIVER VALLEY SELF HELP ENTERPRISES,IL,2300 W. LE FEVRE ROAD,61081,"Community Day Services, Community Integrated Living Arrangement Services"
Peoria,Peoria,309-691-3800,EPIC,IL,1913 W Townline Rd,61615,"Community Day Services, Community Integrated Living Arrangement Services"
CICERO,Cook,708-863-3803,UNITED CEREBRAL PALSY SEGUIN OF GREATER CHICAGO,IL,3100 South Central Ave,60804,"Community Day Services, Community Integrated Living Arrangement Services"
AURORA,Kane,630-966 4000,ASSOCIATION FOR INDIVIDUAL DEVELOPMENT,IL,309 W New Indian Trail Court,60506,"Community Day Services, Community Integrated Living Arrangement Services"
CHICAGO,Cook,312-243 6097,ESPERANZA COMMUNITY SERVICES,IL,520 N MARSHFIELD AVE,60622,"Community Day Services, Community Integrated Living Arrangement Services"
DECATUR,Macon,217-422 6361,A STEP FORWARD INC.,IL,5310 E WILLIAMS ST,62521,"Community Day Services, Community Integrated Living Arrangement Services"
ALSIP,Cook,708-371 9700,SERTOMA CENTRE INC,IL,4343 W 123RD ST,60803,"Community Day Services, Community Integrated Living Arrangement Services"
CHICAGO HEIGHTS,Cook,708-755 8030,NEW STAR INC,IL,1005 W END AVE,60611,"Community Day Services, Community Integrated Living Arrangement Services"
FAIRFIELD,Wayne,618-842 4019,CAREER DEVELOPMENT CENTER,IL,2110 W. Deleware,62837,"Community Day Services, Community Integrated Living Arrangement Services"
CHICAGO,Cook,312-346-6230,ENVISION UNLIMITED,IL,8 S MICHIGAN AVE SUITE 1700,60603,"Community Day Services, Community Integrated Living Arrangement Services"
CHICAGO,Cook,312-385-2000,ADA S MCKINLEY COMMUNITY SERVICES INC,IL,1359 W Washington Boulevard,60607,"Community Day Services, Community Integrated Living Arrangement Services"
Eureka,Woodford,309-467 3015,ASSOCIATION FOR THE DISABLED IN WOODFORD COUNTY,IL,200 Moody St,61530,"Community Day Services, Community Integrated Living Arrangement Services"
Palatine,Cook,847-358-5510,LITTLE CITY FOUNDATION,IL,1760 W Algonquin Rd,60067,"Community Day Services, Community Integrated Living Arrangement Services, Community Living Facility Services"
LIBERTYVILLE,Lake,847-362 4636,LAMBS FARM,IL,14245 W Rockland Rd,60048,"Community Day Services, Community Integrated Living Arrangement Services, Community Living Facility Services"
NORTHBROOK,Cook,847-272 5111,GLENKIRK,IL,3504 COMMERCIAL AVE.,60062,"Community Day Services, Community Integrated Living Arrangement Services, Community Living Facility Services"
SKOKIE,Cook,847-982 2030,"SHORE COMMUNITY SERVICES, INC",IL,8350 LARAMIE AVE,60077,"Community Day Services, Community Integrated Living Arrangement Services, Community Living Facility Services"
PARK RIDGE,Cook,847-292 0870,AVENUES TO INDEPENDENCE,IL,515 Busse Hwy,60068,"Community Day Services, Community Integrated Living Arrangement Services, Community Living Facility Services"
CHICAGO,Cook,773-545 8300,ST MARY OF PROVIDENCE SCHOOL,IL,4200 N Austin,60634,"Community Day Services, Community Living Facility Services"
Lincoln,Logan,217-735-3352,CRA INC,IL,816 Wyatt Ave,62656,Community Integrated Living Arrangement Services
Lansing,Cook,(708) 673-7564,COMMUNITY REGIONAL SERVICES,IL,17843 Torrence Ave Ste 1E,60438,Community Integrated Living Arrangement Services
Park Forest,Cook,708-663-4910,DESTINY HOUSING,IL,"244 Main Street, 2nd Fl",60466,Community Integrated Living Arrangement Services
Beloit,,815-262 0699,"HEROES OF THE GAME, INC",WI,2022 JACKSON STREET,53511,Community Integrated Living Arrangement Services
VIENNA,Johnson,618-658-2005,"GLEN BROOK OF VIENNA, INC",IL,801 NORTH FIRST ST.,62995,Community Integrated Living Arrangement Services
Lansing,Cook,773-430-8668,DIVINE TOUCH CILA HOMES INC,IL,"18225 Burnham Ave, Suite B2",60438,Community Integrated Living Arrangement Services
Belleville,St. Clair,702-875-1766,AZZ Kicking Machine LLC dba Inspire Community Homes LLC,IL,4007 Memorial Dr,62226,Community Integrated Living Arrangement Services
Bourbonnais,Kankakee,815-464-3239,ILLINOIS MENTOR COMMUNITY SERVICES INC,IL,179 E Bethel Drive,60914,Community Integrated Living Arrangement Services
Rolling Meadows,Cook,847-496-7558,SAZE COMMUNITY SERVICES INC,IL,2200 Hicks Road Suite 101,60008,Community Integrated Living Arrangement Services
RICHTON PARK,Cook,708-704 9773,"GENTLE HANDS REHABILITATION, INC",IL,5319 SAWGRASS AVENUE,60471,Community Integrated Living Arrangement Services
RICHTON PARK,Cook,708-253-3128,"REDEMPTA SERVICES, NFP",IL,PO BOX 553,60471,Community Integrated Living Arrangement Services
MAKANDA,Jackson,618-967 7106,LIVING IN A FAMILY ENVIRONMENT MANAGEMENT CORP,IL,3136 MYERS LANE,62958,Community Integrated Living Arrangement Services
Park Ridge,Cook,224-585-3772,"AT HOME MISSION, NFP",IL,1217 Tyrell Ave,60068,Community Integrated Living Arrangement Services
MARION,Williamson,618-519-0031,LIBERTY ENTERPRISES,IL,1304 WEST MACK AVE,62959,Community Integrated Living Arrangement Services
MATTESON,Cook,708-720-3315,JOSEPH REHABILITATION CENTER,IL,21209 SHANNON AVENUE,60433,Community Integrated Living Arrangement Services
MATTESON,Cook,708-710-0640,T.O.C. INCORPORATED OF ILLINOIS,IL,4709 ABBEY LN,60443,Community Integrated Living Arrangement Services
Lynwood,Cook,773-507-6379,VICTORY HOMES,IL,20139 Driftwood Ave,60411,Community Integrated Living Arrangement Services
Warrenville,DuPage,630-393-7802,BARTLETT LEARNING CENTER,IL,3s570 Warren Ave,60555,Community Integrated Living Arrangement Services
MARKHAM,Cook,708-212-3520,KARRIEMS DEV SVCS INC,IL,15501 S KEDZIE,60428,Community Integrated Living Arrangement Services
RICHTON PARK,Cook,773-759-1297,LIGHT OF HOPE,IL,22858 Millard Ave,60471,Community Integrated Living Arrangement Services
Rockford,Winnebago,815-708-7479,GOLDIE B FLOBERG CENTER,IL,4960 E State Street #300,61108,Community Integrated Living Arrangement Services
Richton Park,Cook,708-257-1587,"Benson, Trinette DBA Gifted Hands 5 LLC",IL,4515 Camden Ct,60471,Community Integrated Living Arrangement Services
Belleville,St Clair,618-489-5025,SUPPORT SYSTEMS AND SERVICES INC,IL,5801 Mt Pleasant Ln,62223,Community Integrated Living Arrangement Services
OAK BROOK,DuPage,708-715-8550,"BREATH OF LIFE PROFESSIONAL SERVICES, NFP",IL,"1789 35th Street, #6311",60523,Community Integrated Living Arrangement Services
Morton,Tazewell,309-266 9781,"APOSTOLIC CHRISTIAN LIFEPOINTS, INC",IL,2073 Veterans Road,61550,Community Integrated Living Arrangement Services
NAPERVILLE,DuPage,630- 470-9668,Illinois Housing and Disability Services Inc,IL,710 E Ogden Ave Ste 160,60563,Community Integrated Living Arrangement Services
NEW BADEN,Clinton,618-588 7295,"ROYAL LIVING CENTER, INC",IL,200 SOUTH 9TH,62265,Community Integrated Living Arrangement Services
NEW BADEN,Clinton,618-588-7136,SOUTHERN ILLINOIS COMMUNITY SUPPORT SERVICES D.B.A. MY LIFE MY HOME,IL,215 E ILLINOIS ST;  P.O. Box 19,62265,Community Integrated Living Arrangement Services
Niles,Cook,847-675 6093,DIANE HOME CARE INC,IL,7800 N Milwaukee Ave,60714,Community Integrated Living Arrangement Services
BELLEVILLE,St Clair,618-489-1133,PARENTS and FRIENDS OF THE CMNTY,IL,932 Kernon Drive,62223,Community Integrated Living Arrangement Services
Naperville,DuPage,630-430-2057,COMPASSIONATE LIVING HOME INC,IL,"1730 Park Street, Suite 214",60563,Community Integrated Living Arrangement Services
Alton,Madison,618-465 0044,RESIDENTIAL OPTIONS INC,IL,4 Emmie L Kaus Ln,62003,Community Integrated Living Arrangement Services
NORTHBROOK,Cook,847-559 1222,AURORA HOME CARE INC.,IL,"3100 Dundee Road, Suite 401",60062,Community Integrated Living Arrangement Services
NORTHBROOK,Cook,847-559 0110,CENTER ON DEAFNESS,IL,3444 DUNDEE ROAD,60062,Community Integrated Living Arrangement Services
NORTHBROOK,Cook,847-272 2222,FAMILIES BUILDING DREAMS,IL,"3100 Dundee Road, Suite 402",60062,Community Integrated Living Arrangement Services
Anna,Union,618-524-3444,"KRYPTON, INC",IL,110 Florsheim Drive,62906,Community Integrated Living Arrangement Services
BELLEVILLE,St Clair,618-236 2181,EPILEPSY FOUNDATION OF GREATER SOUTHERN ILLINOIS,IL,3515 NORTH BELT WEST,62226,Community Integrated Living Arrangement Services
Anna,Union,618-833-1214,LINCOLN SQUARE INC,IL,110 Florsheim Drive,62906,Community Integrated Living Arrangement Services
LYNWOOD,Cook,708-251-8899,FIRST ZION HOMES,IL,2246 GLENWOOD DYER RD,60411,Community Integrated Living Arrangement Services
BELLEVILLE,St Clair,618-213-8700,CHRISTIAN SOCIAL SERVICES OF IL DBA CARITAS FAMILY SOLUTIONS,IL,"8601 W. MAIN ST., STE 201",62223,Community Integrated Living Arrangement Services
Red Bud,Randolph,618-282-6233,ComWell,IL,10257 State Rt 3,62278,Community Integrated Living Arrangement Services
PARK RIDGE,Cook,847-292 8523,CIRCLE OF SUPPORT INC,IL,"1411 PETERSON AVE, Ste 103",60068,Community Integrated Living Arrangement Services
OAK FOREST,Cook,708-687 2038,COVENANT ENABLING RESIDENCES OF ILLINOIS,IL,15841 TERRACE DR,60452,Community Integrated Living Arrangement Services
BRADLEY,Kankakee,815-939-9980,KANKAKEE COUNTY TRAINING CENTER,IL,595 North Industrial Drive,60915,Community Integrated Living Arrangement Services
Belleville,SAINT CLAIR,(618) 980-3117,Community Connection and Services,IL,2405 Fourlakes Dr.,62220,Community Integrated Living Arrangement Services
PARK FOREST,Cook,773-419 2211,"COMPASSION CILA HOMES, INC.",IL,304 SPRINGFIELD STREET,60466,Community Integrated Living Arrangement Services
MOUNT VERNON,Jefferson,618-244 7701,"TDL GROUP, INC",IL,PO Box 814,62864,Community Integrated Living Arrangement Services
PARK FOREST,Cook,708-506 3589,"CARING HANDS CILA OF IL, INC.",IL,430 Wildwood Dr,60466,Community Integrated Living Arrangement Services
MOUNT VERNON,Jefferson,618-927-0290,SHAMROCK SERVICES GROUP,IL,13023 N Shiloh DrPO Box 814,62864,Community Integrated Living Arrangement Services
MT CARMEL,Wabash,618-262 6538,BROOKE HILL MANAGEMENT INC,IL,PO Box 295 1420 W 3rd St,62863,Community Integrated Living Arrangement Services
MT CARMEL,Wabash,618-262 8614,WABASH AREA VOCATIONAL INC,IL,"1420 W 3rd St, PO Box 487",62863,Community Integrated Living Arrangement Services
NORMAL,McLean,309-862 0607,HOMES OF HOPE INC,IL,"705 EAST LINCOLN ST, SUITE 313",61761,Community Integrated Living Arrangement Services
ANNA,Union,618-833 7418,R and J ENTERPRISES COUNTRY LIVING INC,IL,221 EAST AVE,62906,Community Integrated Living Arrangement Services
ANNA,Union,618-833-2500,"COMMUNITY INTEGRATED LIVING INC. d/b/a CIL, Inc.",IL,201 E Chestnut St,62906,Community Integrated Living Arrangement Services
WATERLOO,Monroe,618-939 4444,HUMAN SUPPORT SERVICES,IL,988 N. Illinois Route 3,62298,Community Integrated Living Arrangement Services
ANNA,Union,618-833-9094,INDEPENDENT LIVING SERVICES INC,IL,156 E VIENNA STREET,62906,Community Integrated Living Arrangement Services
MURPHYSBORO,Jackson,618-867-3881,TASH INC,IL,PO Box 338 - 1303 N 7th Street,62966,Community Integrated Living Arrangement Services
Orland Park,Cook,(312) 927-0937,"Shalom Manor Care, Inc",IL,8147 Seminole Ct,60462,Community Integrated Living Arrangement Services
Olympia Fields,Cook,708-250 0603,HAWKINS CILA CARE CORPORATION,IL,20230 Mohawk Trail,60461,Community Integrated Living Arrangement Services
Olympia Fields,Cook,630-660-6374,Inspire Greatness Within Inc,IL,2490 GLEN EAGLES DR,60461,Community Integrated Living Arrangement Services
Mateson,Cook,708- 283 0886,DUBOIS-DOUGLAS CENTRES,IL,"4747 LINCOLN MALL DRIVE, Suite 301",60443,Community Integrated Living Arrangement Services
Matteson,Cook,708-414-6143,A TURNING POINT FOR LIFE OF ILLINOIS,IL,4212 207th Street,60443,Community Integrated Living Arrangement Services
PALOS HEIGHTS,Cook,708-371 0800,BETHSHAN ASSOCIATION,IL,12927 S MONITOR AVE,60463,Community Integrated Living Arrangement Services
Calumet City,Cook,773-721-6535,"DIVINE CENTER, INC",IL,513 Marquette Ave.,60409,Community Integrated Living Arrangement Services
SPRINGFIELD,Sangamon,217-953-0894,HOPE SCHOOL,IL,15 East Hazel Dell Lane,62712,Community Integrated Living Arrangement Services
Glenview,Cook,224-558 4509,DEVORA'S DREAM INC,IL,2500 Violet St,60026,Community Integrated Living Arrangement Services
Swansea,Saint Clair,(618) 225-2896,"Abundant Possibilities and Services, LLC",IL,208 Pine Dale Drive,62226,Community Integrated Living Arrangement Services
CHICAGO,Cook,773-338 9102,PACTT LEARNING CENTER,IL,7101 N GREENVIEW AVE.,60626,Community Integrated Living Arrangement Services
CHICAGO,Cook,773-375 6146,TRI-CARE INC,IL,9208 S Colfax,60617,Community Integrated Living Arrangement Services
CHICAGO,Cook,773-457-6005,BEVERLY HILLS HOME CARE INC,IL,10601 S Longwood Dr.,60643,Community Integrated Living Arrangement Services
CHICAGO,Cook,773-481-9096,SOLEDAD SOCIAL SERVICES CORP,IL,6059 W Belmont Ave,60634,Community Integrated Living Arrangement Services
DESOTO,Jackson,618-867 3188,SKYSTAR RESIDENTIAL SERVICES,IL,406 E DOUGLAS,62924,Community Integrated Living Arrangement Services
Des Plaines,Cook,847-328 8326,RIMLAND SERVICES NFP,IL,1101 Gregory St,60016,Community Integrated Living Arrangement Services
HARVEY,Cook,708-473 6420,FAMILY ASSOCIATION PLUS,IL,15746 VINE,60426,Community Integrated Living Arrangement Services
Flossmoor,Cook,708-922 2111,NU-CARE INC,IL,19150 S KEDZIE AVE,60422,Community Integrated Living Arrangement Services
DECATUR,Macon,217-422-4725,ALPHA OMEGA CONSULTING INC,IL,805 East Johns Ave,62521,Community Integrated Living Arrangement Services
DECATUR,Macon,217-422 6510,PATTERSON HOUSE INC,IL,636 W. IMBODEN DRIVE P.O. BOX 25527,62525,Community Integrated Living Arrangement Services
CHICAGO,Cook,773-701 6681,"RANDOM ACT OF KINDNESS DEVELOPMENTAL AGENCY, INC",IL,11346 SOUTH PARNELL,60628,Community Integrated Living Arrangement Services
SOUTH HOLLAND,Cook,773-457-5983,"ALPHA TO OMEGA LIVING, LLC",IL,1885 169TH PL,60473,Community Integrated Living Arrangement Services
Xenia,Clay,618-572-8234,"The Esther Services Project of So IL, Inc",IL,103 East Street,62899,Community Integrated Living Arrangement Services
JACKSONVILLE,Morgan,217-245 9898,ALVIN EADES CENTER INC,IL,905 West Superior Ave,62650,Community Integrated Living Arrangement Services
DES PLAINES,Cook,630-696-2868,ABEQUA HOME HEALTH CARE AGENCY,IL,"2720 South River Road, Suite 142",60018,Community Integrated Living Arrangement Services
CHICAGO,Cook,773-274 9760,LEEDA SERVICES OF ILLINOIS INC,IL,7344 N. Western Avenue,60645,Community Integrated Living Arrangement Services
Glendale Heights,DuPage,630-519- 1281,"AMMA CARE, LLC",IL,1061 Victoria Ln,60139,Community Integrated Living Arrangement Services
CHICAGO,Cook,708-271 3463,"ACCESS COMMUNITY EXPERIENCE, INC",IL,4530 S Woodlawn Ave Unit 104,60653,Community Integrated Living Arrangement Services
Fairview Heights,St Clair,618-233 0210,CEREBRAL PALSY OF SOUTHWESTERN ILLINOIS,IL,10200 Old Lincoln Trail,62208,Community Integrated Living Arrangement Services
GALESBRUG,Knox,309-343-1550,FRANCIS HOUSE,IL,285 S FARNHAM STREET,61401,Community Integrated Living Arrangement Services
FLORA,Clay,618-662 8494,CILA CORPORATION,IL,832-C W NORTH AVE P.O. BOX 160,62839,Community Integrated Living Arrangement Services
CHICAGO,Cook,219-322 2730,HELP AT HOME LLC,IL,"1 N STATE STREET, SUITE 800",60602,Community Integrated Living Arrangement Services
CHICAGO,Cook,312-545-2924,JCFS CHICAGO,IL,6639 N Kedzie,60645,Community Integrated Living Arrangement Services
GALESBURG,Knox,309-343-1550,ACHIEVEMENT UNLIMITED INC,IL,285 S Farnham St,61401,Community Integrated Living Arrangement Services
Sheboygan,,920-457-0826,"VISTA CARE ILLINOIS, LLC",WI,708 Erie Ave Ste 201,53081,Community Integrated Living Arrangement Services
GENOA,DeKalb,815-784-5146,"AVANCER HOMES, LLC",IL,350 SYCAMORE ROAD,60135,Community Integrated Living Arrangement Services
GLENVIEW,Cook,(847) 630-6787,INFINICARE LLC,IL,1939 WAUKEGAN RD STE 300,60025,Community Integrated Living Arrangement Services
GLENWOOD,Cook,708-915 0920,GENESIS CILA HOMES INC,IL,441 S DANTE AVE,60425,Community Integrated Living Arrangement Services
GODFREY,Madison,618-466 0367,BEVERLYFARM LIVING OPTIONS INC,IL,6301 Humbert Road,62035,Community Integrated Living Arrangement Services
South Holland,Cook,312-741-1818,HARMONY HOUSE CILA INC,IL,16708 Kimbark Ave,60473,Community Integrated Living Arrangement Services
ELDORADO,Saline,618-273-5927,SOUTHEASTERN RESIDENTIAL ALTERNATIVES INC,IL,1424 LOCUST STREET,62930,Community Integrated Living Arrangement Services
Galesburg,Knox,309-343-1550,"COMMUNITY LIVING OPTIONS, INC",IL,285 S Farnham St,61401,Community Integrated Living Arrangement Services
Galesburg,Knox,309-343-1550,"PINNACLE OPPORTUNITIES, INC",IL,285 S Farnham Road,61401,Community Integrated Living Arrangement Services
Galesburg,Knox,309-343-1550,PIONEER CONCEPTS INC,IL,285 S. Farnham,61401,Community Integrated Living Arrangement Services
South Holland,Cook,708-298-8550,TOPVIEW CORPORATION,IL,16250 Louis Avenue,60473,Community Integrated Living Arrangement Services
SKOKIE,Cook,847-677 4933,"ACHIEVE DEVELOPMENT ASSOCIATION, INC",IL,"5115 Church St, Suite 100",60077,Community Integrated Living Arrangement Services
JOHNSTON CITY,Williamson,618-983 8513,VILLA HOUSE INC,IL,1112 Washington St,62951,Community Integrated Living Arrangement Services
TILTON,Vermillion,217-443 4123,COMMUNITY ALTERNATIVES ILL INC,IL,1630 GEORGETOWN RD SUITE 3,61846,Community Integrated Living Arrangement Services
Forest Park,Cook,708-660 1600,L'ARCHE CHICAGO,IL,7313 Madison St,60130,Community Integrated Living Arrangement Services
"CHICAGO,",Cook,773-237 8793,A NEW AGE HUMAN SERVICES CORPORATION,IL,2953 N Nashville Ave,60634,Community Integrated Living Arrangement Services
JOHNSTON CITY,Williamson,618-983-8254,PATHWAY HOUSE INC,IL,P O BOX 207 806 W 10TH,62951,Community Integrated Living Arrangement Services
SCHAUMBURG,Cook,847-327 0400,AMERICAN RESIDENTIAL CARE INC,IL,800 Woodfield Road Suite 117,60173,Community Integrated Living Arrangement Services
SHELDON,Iroquois,815-429 3007,ASSOCIATION FOR THE BETTERMENT OF RETARDED ADULTS (ABRA),IL,"107 N. 4TH St, PO Box 517",60966,Community Integrated Living Arrangement Services
Chicago,Cook,(773) 772-7170,ASSOCIATION HOUSE OF CHICAGO,IL,1116 N Kedzie,60651,Community Integrated Living Arrangement Services
CARLINVILLE,Macoupin,217-854 3166,LOCUST STREET RESOURCE CENTER,IL,320 SOUTH LOCUST STREET,62626,Community Integrated Living Arrangement Services
CHICAGO HEIGHTS,Cook,708-431-1446,BROWNSTONE SERVICES HELPING THOSE IN NEED,IL,236 W 17th St,60411,Community Integrated Living Arrangement Services
Calumet City,Cook,720-655-6111,Anova Healthcare Services,IL,386 Greenbay Ave,60409,Community Integrated Living Arrangement Services
Calumet City,Cook,773-490-8349,"Universal Homes, LLC",IL,PO Box 2209,60409,Community Integrated Living Arrangement Services
SALEM,Marion,618-548 0309,HEALTH CARE MANAGEMENT CORPORATION,IL,PO Box 871,62881,Community Integrated Living Arrangement Services
CARTERVILLE,Williamson,618-985 8351,"PROGRESS MANAGEMENT, INC",IL,1120 NORTH DIVISION,62918,Community Integrated Living Arrangement Services
CANTON,Fulton,309-224 4093,CUBBULL INC,IL,P.O. BOX 478 - 121 W Elm Street,61520,Community Integrated Living Arrangement Services
CHICAGO,Cook,773-975 7777,"MIDWEST CARE INC D.B.A KIN CARE, INC",IL,4113 N LINCOLN AVE,60645,Community Integrated Living Arrangement Services
Chicago,Cook,773-313-6646,"Ohana Community Services, LLC",IL,5124 W North Ave,60639,Community Integrated Living Arrangement Services
Cairo,Alexander,618-734-9705,"PILOT HOUSE OF CAIRO, INC",IL,3010 Park Ave,62914,Community Integrated Living Arrangement Services
COBDEN,Union,618-893 4222,VILLAGE INN OF COBDEN,IL,PO Box 457,62920,Community Integrated Living Arrangement Services
SALEM,Marion,618-548 0309,MARION COUNTY HORIZON CENTER,IL,PO BOX 745,62881,Community Integrated Living Arrangement Services
SKOKIE,Cook,847-568 9500,MULFORD HOMES INC,IL,7701 KENTON AVE,60076,Community Integrated Living Arrangement Services
CHAMPAIGN,Champaign,217-398-0754,RESIDENTIAL DEVELOPERS INC,IL,4102 Belmont Point,61822,Community Integrated Living Arrangement Services
CHAMPAIGN,Champaign,217-398-0754,DEVELOPMENTAL FOUNDATIONS INC,IL,4102 Belmont Point,61822,Community Integrated Living Arrangement Services
Sauk Village,Cook,708-515-9295,D CARE INCORPORTATED,IL,21816 Olivia Ave,60411,Community Integrated Living Arrangement Services
JONESBORO,Union,618-833 4774,CHAMNESS CARE INC,IL,PO BOX 1,62952,Community Integrated Living Arrangement Services
JOLIET,Will,815-725 2194,EASTER SEALS JOLIET REGION INC,IL,212 BARNEY DR,60435,Community Integrated Living Arrangement Services
"Johnston City,",Williamson,(618) 927-5300,BLISS HAVEN INC,IL,"1304 Durham St,",62951,Community Integrated Living Arrangement Services
Chicago Heights,Cook,708-754-5089,MILLENNIUM GARDENS,IL,116 N Normandy Dr,60411,Community Integrated Living Arrangement Services
Chicago,Cook,773-563-0991,"Universal Homes, LLC",IL,3473 S KING DR # 133,60628,Community Integrated Living Arrangement Services
Chicago,Cook,773-371-5691,A+ AUTISM SOLUTIONS,IL,1111 W 14th Place #330,60608,Community Integrated Living Arrangement Services
Chillicothe,Peoria,309-249 3829,RCAP ENTERPRISES INC,IL,"607 N 4th St., Suite A",61523,Community Integrated Living Arrangement Services
LISLE,DuPage,630-620 2222,RAY GRAHAM ASSOCIATION,IL,"901 Warrenville Road, Suite 500",60532,Community Integrated Living Arrangement Services
Bethalto,Madison,(618) 806-4344,"Supporting Community Independence, LLC",IL,1 Polo Grounds Ct,62010,"Community Integrated Living Arrangement Services, Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
PEORIA,Peoria,309-686 3300,COMMUNITY WORKSHOP & TRAINING,IL,3215 N UNIVERSITY,61604,Community Living Facility Services
SYCAMORE,DeKalb,815-895 5108,OPPORTUNITY HOUSE INC,IL,357 N. California St,60178,Community Living Facility Services
DANVILLE,Vermilion,217-442 3200,CROSSPOINT HUMAN SERVICES,IL,210 AVENUE C,61832,Community Living Facility Services
Elmhurst,DuPage,(630) 777-8079,"U.S. Jaclean, INC.",IL,849 N Church Ct.,60126,Home and Vehicle Modification Services
Emington,Livingston,(815) 674-5557,"Gaston, James",IL,27672 E 2500 North Rd,60934,Home and Vehicle Modification Services
Northbrook,Cook,(847) 498-4870,F E Moran INC Fire Protection,IL,2165 Shermer Rd,60062,Home and Vehicle Modification Services
Champaign,Champaign,(217) 359-5800,CCM Champaign County Mobility,IL,1508 W Anthony Dr,61821,Home and Vehicle Modification Services
Eldridge,,(563) 285-4271,S&V Fence and Deck Company,IA,712 E Price St,52748,Home and Vehicle Modification Services
Naperville,DuPage,(630) 524-0015,101 Mobility - Naperville,IL,1701 Quincy Ave,60540,Home and Vehicle Modification Services
Fairfield,Wayne,dlamp@colemantricounty.org,"Phillips, Keith",IL,523 W Main St,62837,Home and Vehicle Modification Services
